date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2014-02-12,sz.399300,2286.187,2294.317,2276.444,2291.246,2285.562,7659216100,73487379679.0,3,0.003693,1,0.248695,,,,,0
2014-02-13,sz.399300,2288.451,2307.474,2278.261,2279.554,2291.246,9621778900,87352124305.0,3,0.00464,1,-0.510296,,,,,0
2014-02-14,sz.399300,2278.4,2295.852,2274.429,2295.575,2279.554,6708299700,64613327719.0,3,0.003235,1,0.702813,,,,,0
2014-02-17,sz.399300,2308.791,2315.579,2293.552,2311.647,2295.575,8783166600,86871352624.0,3,0.004235,1,0.70013,,,,,0
2014-02-18,sz.399300,2310.309,2310.309,2276.108,2282.442,2311.647,8704974300,88107267954.0,3,0.004191,1,-1.263388,,,,,0
2014-02-19,sz.399300,2280.927,2317.42,2274.152,2308.656,2282.442,9935256100,88341900374.0,3,0.004783,1,1.148512,,,,,0
2014-02-20,sz.399300,2314.088,2331.698,2286.203,2287.436,2308.656,10643953300,91771595713.0,3,0.005124,1,-0.919148,,,,,0
2014-02-21,sz.399300,2284.03,2287.869,2250.652,2264.294,2287.436,7636899300,69908188663.0,3,0.003677,1,-1.011704,,,,,0
2014-02-24,sz.399300,2246.715,2246.715,2194.164,2214.509,2264.294,8921593900,79599146389.0,3,0.004295,1,-2.198695,,,,,0
2014-02-25,sz.399300,2216.515,2225.209,2150.095,2157.909,2214.509,9323755100,88306571728.0,3,0.004489,1,-2.555876,,,,,0
2014-02-26,sz.399300,2147.737,2164.698,2137.079,2163.405,2157.909,7799329700,68640581126.0,3,0.003755,1,0.254695,,,,,0
2014-02-27,sz.399300,2170.81,2180.063,2150.135,2154.108,2163.405,9010429600,81587999653.0,3,0.004338,1,-0.429745,,,,,0
2014-02-28,sz.399300,2149.446,2180.474,2133.548,2178.971,2154.108,7666805700,70216798972.0,3,0.003691,1,1.154215,,,,,0
2014-03-03,sz.399300,2173.907,2194.224,2167.91,2190.37,2178.971,8207231400,69408739897.0,3,0.003948,1,0.523145,,,,,0
2014-03-04,sz.399300,2183.858,2188.601,2161.589,2184.273,2190.37,7306925000,64691438035.0,3,0.003515,1,-0.278363,,,,,0
2014-03-05,sz.399300,2187.352,2189.093,2159.595,2163.976,2184.273,6133201500,55669679402.0,3,0.00295,1,-0.929228,,,,,0
2014-03-06,sz.399300,2159.397,2181.427,2136.454,2173.634,2163.976,6909376700,61495023657.0,3,0.003323,1,0.446308,,,,,0
2014-03-07,sz.399300,2170.043,2189.39,2161.436,2168.358,2163.976,6426517700,58693177974.0,3,0.003091,1,0.20249,,,,,0
2014-03-10,sz.399300,2149.676,2149.676,2095.067,2097.787,2168.358,7141640700,63086412572.0,3,0.003435,1,-3.254573,,,,,0
2014-03-11,sz.399300,2092.608,2118.79,2088.729,2108.661,2097.787,5762124300,53075782462.0,3,0.002771,1,0.518345,,,,,0
2014-03-12,sz.399300,2102.801,2130.586,2090.757,2114.134,2108.661,7006974700,60115239174.0,3,0.00337,1,0.259555,,,,,0
2014-03-13,sz.399300,2119.547,2149.436,2115.986,2140.333,2114.134,6922602800,59163094375.0,3,0.003329,1,1.23923,,,,,0
2014-03-14,sz.399300,2129.87,2140.384,2109.575,2122.836,2140.333,5861773700,49805247510.0,3,0.002819,1,-0.817493,,,,,0
2014-03-17,sz.399300,2132.793,2143.196,2118.953,2143.038,2122.836,5240944500,47571288733.0,3,0.002521,1,0.951658,,,,,0
2014-03-18,sz.399300,2146.124,2152.462,2134.923,2138.133,2143.038,5535413200,54188441365.0,3,0.002662,1,-0.228882,,,,,0
2014-03-19,sz.399300,2131.283,2131.283,2101.285,2120.87,2138.133,5930390500,55283943974.0,3,0.002852,1,-0.807384,,,,,0
2014-03-20,sz.399300,2116.185,2134.792,2086.497,2086.967,2120.87,6763128500,58951601970.0,3,0.003253,1,-1.598546,,,,,0
2014-03-21,sz.399300,2079.871,2163.225,2077.759,2158.798,2086.967,10402480700,83560511769.0,3,0.005003,1,3.441887,,,,,0
2014-03-24,sz.399300,2161.898,2186.731,2150.871,2176.554,2158.798,10449198400,81203913733.0,3,0.005025,1,0.822488,,,,,0
2014-03-25,sz.399300,2170.78,2191.491,2164.669,2174.44,2176.554,8687751000,67548473561.0,3,0.004178,1,-0.097127,,,,,0
2014-03-26,sz.399300,2181.231,2186.078,2165.217,2171.047,2174.44,5827617600,50116023097.0,3,0.002802,1,-0.156032,,,,,0
2014-03-27,sz.399300,2168.344,2186.893,2146.916,2155.707,2171.047,7127513200,62175860350.0,3,0.003428,1,-0.706576,,,,,0
2014-03-28,sz.399300,2154.515,2172.668,2144.584,2151.965,2155.707,7008607300,60123341093.0,3,0.00337,1,-0.173583,,,,,0
2014-03-31,sz.399300,2156.054,2165.254,2134.422,2146.305,2151.965,5545748800,48105020054.0,3,0.002666,1,-0.263023,,,,,0
2014-04-01,sz.399300,2143.717,2170.095,2141.151,2163.115,2146.305,4886640300,43659064291.0,3,0.002349,1,0.783209,,,,,0
2014-04-02,sz.399300,2166.067,2182.683,2164.008,2180.727,2163.115,6503925700,56777151867.0,3,0.003127,1,0.814199,,,,,0
2014-04-03,sz.399300,2188.642,2196.138,2160.747,2165.008,2180.727,7153603200,57708859685.0,3,0.003439,1,-0.720814,,,,,0
2014-04-04,sz.399300,2157.982,2186.154,2155.277,2185.472,2165.008,4794588800,43912624261.0,3,0.002305,1,0.94521,,,,,0
2014-04-08,sz.399300,2179.92,2243.97,2178.905,2237.316,2185.472,9721911700,85692893370.0,3,0.00467,1,2.372211,,,,,0
2014-04-09,sz.399300,2239.791,2246.793,2228.994,2238.62,2237.316,6635726800,61178630422.0,3,0.003187,1,0.058293,,,,,0
2014-04-10,sz.399300,2241.452,2290.742,2229.515,2273.761,2238.62,11454540500,101616815025.0,3,0.005502,1,1.569756,,,,,0
2014-04-11,sz.399300,2269.565,2281.105,2261.133,2270.666,2273.761,9061589700,86154853765.0,3,0.004352,1,-0.136117,,,,,0
2014-04-14,sz.399300,2267.943,2275.83,2255.456,2268.613,2270.666,6226499800,60254151500.0,3,0.002988,1,-0.090413,,,,,0
2014-04-15,sz.399300,2261.411,2261.474,2225.685,2229.463,2268.613,6821813000,62599115638.0,3,0.003274,1,-1.725731,,,,,0
2014-04-16,sz.399300,2223.468,2245.315,2221.153,2232.526,2229.463,5167801000,47770218198.0,3,0.002478,1,0.137387,,,,,0
2014-04-17,sz.399300,2238.779,2241.622,2221.954,2224.803,2232.526,4833362800,45096433749.0,3,0.002318,1,-0.345927,,,,,0
2014-04-18,sz.399300,2215.879,2228.77,2203.047,2224.479,2224.803,5075799500,45709617096.0,3,0.002434,1,-0.014562,,,,,0
2014-04-21,sz.399300,2209.942,2231.707,2186.755,2187.248,2224.479,5627828000,51856112765.0,3,0.002699,1,-1.673693,,,,,0
2014-04-22,sz.399300,2184.017,2196.849,2165.075,2196.795,2187.248,5709469400,52351993061.0,3,0.002738,1,0.436479,,,,,0
2014-04-23,sz.399300,2191.231,2205.594,2187.388,2194.668,2196.795,4776353100,45191150830.0,3,0.00229,1,-0.096821,,,,,0
2014-04-24,sz.399300,2192.769,2209.454,2186.763,2190.474,2194.668,4505891100,41927012945.0,3,0.00216,1,-0.191093,,,,,0
2014-04-25,sz.399300,2195.815,2201.712,2167.64,2167.826,2190.474,6024538300,52092022381.0,3,0.002889,1,-1.03394,,,,,0
2014-04-28,sz.399300,2165.773,2171.385,2132.695,2134.969,2167.826,6048518700,49998809829.0,3,0.002899,1,-1.515663,,,,,0
2014-04-29,sz.399300,2134.413,2159.379,2131.783,2158.47,2134.969,4820493100,41550353157.0,3,0.002309,1,1.100764,,,,,0
2014-04-30,sz.399300,2158.762,2164.175,2153.124,2158.659,2158.47,4533462400,39493022295.0,3,0.002171,1,0.008755,,,,,0
2014-05-05,sz.399300,2152.59,2161.703,2131.232,2156.47,2158.659,4934407300,41470449799.0,3,0.002363,1,-0.101404,,,,,0
2014-05-06,sz.399300,2151.388,2173.618,2150.112,2157.328,2156.47,4808651900,41486451628.0,3,0.002303,1,0.039783,,,,,0
2014-05-07,sz.399300,2151.472,2153.723,2136.99,2137.316,2157.328,4460747000,37751019661.0,3,0.002136,1,-0.927627,,,,,0
2014-05-08,sz.399300,2132.036,2168.206,2128.318,2135.496,2137.316,4833245200,40729772017.0,3,0.002314,1,-0.085145,,,,,0
2014-05-09,sz.399300,2138.84,2141.559,2120.595,2133.911,2135.496,4918113500,40242745273.0,3,0.002355,1,-0.074231,,,,,0
2014-05-12,sz.399300,2150.313,2184.332,2139.483,2180.054,2133.911,8347256000,66275508636.0,3,0.003996,1,2.162371,,,,,0
2014-05-13,sz.399300,2180.059,2185.046,2167.767,2174.852,2180.054,6491251800,50241276089.0,3,0.003108,1,-0.238614,,,,,0
2014-05-14,sz.399300,2175.094,2184.221,2168.997,2172.372,2174.852,4851420600,39214123931.0,3,0.002322,1,-0.11403,,,,,0
2014-05-15,sz.399300,2169.278,2171.453,2142.338,2144.084,2172.372,4673403200,38938529216.0,3,0.002237,1,-1.302175,,,,,0
2014-05-16,sz.399300,2143.926,2150.5,2132.186,2145.952,2144.084,4225319700,34987586802.0,3,0.002022,1,0.08712,,,,,0
2014-05-19,sz.399300,2139.362,2139.362,2105.713,2115.143,2145.952,4289360700,37135950607.0,3,0.002052,1,-1.435672,,,,,0
2014-05-20,sz.399300,2124.708,2131.567,2110.72,2115.771,2115.143,3729968300,31576339037.0,3,0.001784,1,0.029687,,,,,0
2014-05-21,sz.399300,2106.762,2136.1,2096.514,2135.905,2115.771,3894604200,32246807970.0,3,0.001863,1,0.951617,,,,,0
2014-05-22,sz.399300,2134.087,2160.909,2128.858,2130.868,2135.905,4625273600,39227549718.0,3,0.002207,1,-0.235825,,,,,0
2014-05-23,sz.399300,2130.775,2148.583,2128.663,2148.414,2131.113,3762310500,32420020159.0,3,0.001795,1,0.811831,,,,,0
2014-05-26,sz.399300,2161.892,2165.421,2147.445,2155.976,2148.414,3955065600,37788482728.0,3,0.001887,1,0.351981,,,,,0
2014-05-27,sz.399300,2154.395,2160.027,2145.752,2147.28,2155.976,3589717100,32374256462.0,3,0.001713,1,-0.403346,,,,,0
2014-05-28,sz.399300,2147.467,2171.172,2142.007,2169.352,2147.28,5005626000,45627619375.0,3,0.002388,1,1.027906,,,,,0
2014-05-29,sz.399300,2171.26,2178.092,2154.925,2155.164,2169.352,4489155600,41076912680.0,3,0.002141,1,-0.65402,,,,,0
2014-05-30,sz.399300,2156.381,2166.907,2146.218,2156.464,2155.164,4392386300,39769199791.0,3,0.002095,1,0.060323,,,,,0
2014-06-03,sz.399300,2157.64,2168.995,2149.291,2149.918,2156.464,4198295400,37906226058.0,3,0.002002,1,-0.303559,,,,,0
2014-06-04,sz.399300,2149.407,2149.452,2117.313,2128.274,2149.918,4181724900,35607022812.0,3,0.001994,1,-1.006738,,,,,0
2014-06-05,sz.399300,2126.607,2150.93,2123.524,2150.602,2128.274,3647742400,33050774675.0,3,0.001739,1,1.049119,,,,,0
2014-06-06,sz.399300,2149.214,2149.783,2123.98,2134.716,2150.602,3573805800,32415599488.0,3,0.001703,1,-0.738676,,,,,0
2014-06-09,sz.399300,2128.225,2153.903,2126.665,2134.281,2134.716,3931106000,35326732064.0,3,0.001873,1,-0.02038,,,,,0
2014-06-10,sz.399300,2138.671,2161.526,2132.447,2161.268,2134.281,5050790200,44416141206.0,3,0.002407,1,1.264457,,,,,0
2014-06-11,sz.399300,2156.151,2163.61,2152.08,2160.766,2161.268,4256371800,37311080748.0,3,0.002028,1,-0.023225,,,,,0
2014-06-12,sz.399300,2156.761,2160.988,2148.413,2153.41,2160.766,4302584300,37252041741.0,3,0.002049,1,-0.340444,,,,,0
2014-06-13,sz.399300,2150.987,2183.645,2150.569,2176.242,2153.41,5925287600,51765511450.0,3,0.002822,1,1.060273,,,,,0
2014-06-16,sz.399300,2176.438,2196.343,2174.277,2191.855,2176.242,6329687500,56904298384.0,3,0.003029,1,0.717431,,,,,0
2014-06-17,sz.399300,2185.681,2185.681,2168.445,2169.674,2191.855,4993366500,46244977817.0,3,0.002389,1,-1.01197,,,,,0
2014-06-18,sz.399300,2169.252,2172.549,2158.497,2160.239,2169.674,4946389700,42538095511.0,3,0.002367,1,-0.434861,,,,,0
2014-06-19,sz.399300,2161.426,2166.407,2119.498,2126.907,2160.239,5316264500,46029744918.0,3,0.002543,1,-1.542979,,,,,0
2014-06-20,sz.399300,2124.963,2137.034,2120.807,2136.729,2126.907,4239371900,35425712925.0,3,0.002028,1,0.461798,,,,,0
2014-06-23,sz.399300,2137.926,2147.227,2132.454,2134.11,2136.729,4117925800,37112428752.0,3,0.001969,1,-0.122566,,,,,0
2014-06-24,sz.399300,2131.686,2145.213,2130.292,2144.821,2134.11,4016435600,38778505304.0,3,0.00192,1,0.501892,,,,,0
2014-06-25,sz.399300,2141.726,2141.726,2126.035,2133.371,2144.821,3766610000,33809315524.0,3,0.001797,1,-0.533842,,,,,0
2014-06-26,sz.399300,2135.156,2151.114,2134.891,2149.076,2133.371,4435116600,40601836632.0,3,0.002116,1,0.736151,,,,,0
2014-06-27,sz.399300,2146.374,2159.526,2138.927,2150.258,2149.076,5272289600,45525673947.0,3,0.002515,1,0.055006,,,,,0
2014-06-30,sz.399300,2152.306,2168.221,2152.306,2165.118,2150.258,5430418800,50277570814.0,3,0.00259,1,0.691074,,,,,0
2014-07-01,sz.399300,2169.199,2171.15,2157.133,2164.559,2165.118,5332310000,49936284309.0,3,0.002543,1,-0.025811,,,,,0
2014-07-02,sz.399300,2163.998,2171.51,2155.609,2170.867,2164.559,5968550100,53273658927.0,3,0.002846,1,0.291415,,,,,0
2014-07-03,sz.399300,2169.003,2184.964,2164.843,2180.192,2170.867,6369069000,56024939299.0,3,0.003037,1,0.42955,,,,,0
2014-07-04,sz.399300,2180.445,2183.798,2174.073,2178.695,2180.192,5285110600,47990033413.0,3,0.002519,1,-0.068656,,,,,0
2014-07-07,sz.399300,2178.546,2186.202,2171.083,2176.289,2178.695,5024233400,47663876919.0,3,0.002394,1,-0.110433,,,,,0
2014-07-08,sz.399300,2174.828,2180.778,2163.359,2180.473,2176.289,5074359900,46017266874.0,3,0.002418,1,0.192246,,,,,0
2014-07-09,sz.399300,2178.135,2178.51,2148.26,2148.71,2180.473,6202204600,58980248398.0,3,0.002951,1,-1.4567,,,,,0
2014-07-10,sz.399300,2146.601,2151.774,2139.522,2142.847,2148.71,5573249700,50931668887.0,3,0.002652,1,-0.272863,,,,,0
2014-07-11,sz.399300,2136.317,2154.735,2134.795,2148.009,2142.847,6137427400,51551825645.0,3,0.00292,1,0.2409,,,,,0
2014-07-14,sz.399300,2149.542,2171.902,2145.278,2171.758,2148.009,6615886300,60467088864.0,3,0.003148,1,1.10563,,,,,0
2014-07-15,sz.399300,2170.089,2176.272,2165.206,2174.976,2171.758,7181569400,64304875149.0,3,0.003417,1,0.148176,,,,,0
